Código Producto Padre,Código Producto MP,Cantidad MP,Activo?,Detiene Explotación?,Código Ubicación,Código Presentación,Cantidad Presentación
PL12260303,MR0502004,0.2,SI,,,,
PL12260303,MR0704022,0.5,SI,,,,
PL12260303,CP0104006,0.25,SI,,,,
PL12260303,CP0200015,,SI,,,OZ001,0.5
PL12260303,PL20260301,,SI,,,OZ001,0.2
PL12260304,MR0302005,0.5,SI,,,,
PL12260304,MR0301003,0.2,SI,,,,
PL12260304,MR0801001,2,SI,,,,
PL12260304,MR0502004,0.2,SI,,,,
PL12260304,MR0704022,0.5,SI,,,,
PL12260304,CP0200015,,SI,,,OZ001,0.5
PL12260304,PL20260301,,SI,,,OZ001,0.2
PL12260305,MR0704014,6,SI,,,,
PL12260305,MR0602001,7.05,SI,,,,
PL12260305,CP0200018,,SI,,,OZ001,2
PL12260305,PL20260319,,SI,,,OZ001,9
PL20250319,MR01260101,25,SI,,,,
PL20250319,MR0304006,0.18,SI,,,,
PL20250319,MR0301004,16.91,SI,,,,
PL20250868,MR0522032,14.1,SI,,,,
PL20250868,MR0502008,0.35,SI,,,,
PL20250868,MR0305033,1.25,SI,,,,
PL20250868,MR0301003,0.7,SI,,,,
PL20250868,MR0304006,0.18,SI,,,,
PL20250868,MR0302021,0.07,SI,,,,
PL20250905,MR01250861,0.18,SI,,,,
PL20250905,MR0302021,0.18,SI,,,,
PL20250905,MR0602001,2.82,SI,,,,
PL20250905,MR0522032,2.82,SI,,,,
PL20250905,MR0501058,0.04,SI,,,,
PL20250905,MR0305033,0.35,SI,,,,
PL20250905,MR0304006,0.35,SI,,,,
PL20250905,MR0501004,1.41,SI,,,,
PL20250905,MR0704003,2.82,SI,,,,
PL20250905,MR0702002,27,SI,,,,
PL20250905,MR0522030,6.76,SI,,,,
PL20250906,MR0501058,0.18,SI,,,,
PL20250906,MR0305033,0.71,SI,,,,
PL20250906,MR03250902,35.27,SI,,,,
PL20250906,MR0501004,5.29,SI,,,,
PL20250906,PP01260401,4,SI,,,,
PL20250920,MR0303002,3.2,SI,,,,
PL20250920,MR0302024,1.2,SI,,,,
PL20250920,MR0301020,15.3,SI,,,,
PL20251106,MR01251108,0.25,SI,,,,
PL20251106,MR0101005,0.04,SI,,,,
PL20251106,MR0303002,1.76,SI,,,,
PL20251106,MR0304006,0.04,SI,,,,
PL20251109,MR01251114,1.06,SI,,,,
PL20251109,MR0101021,0.35,SI,,,,
PL20251109,MR0303004,1.59,SI,,,,
PL20251109,MR0501013,0.71,SI,,,,
PL20251109,MR0305033,0.71,SI,,,,
PL20251109,MR0301015,4.06,SI,,,,
PL20251109,MR01251117,1.35,SI,,,,
PL20251109,MR0301001,0.51,SI,,,,
PL20251109,PL20251110,,SI,,,OZ001,27.05
PL20251110,MR0101020,1.76,SI,,,,
PL20251110,MR0302021,0.18,SI,,,,
PL20251110,MR0501058,0.18,SI,,,,
PL20251110,MR0502003,7.05,SI,,,,
PL20251110,MR0501025,7.05,SI,,,,
PL20251110,MR0501013,1.06,SI,,,,
PL20251110,MR0501029,10.58,SI,,,,
PL20251110,MR0305033,1.06,SI,,,,
PL20251110,MR0501004,10.58,SI,,,,
PL20251110,MR0522028,1.01,SI,,,,
PL20251110,MR0301015,2.03,SI,,,,
PL20251110,MR0301018,1.35,SI,,,,
PL20251110,MR0301001,1.41,SI,,,,
PL20251201,MR0303002,0.42,SI,,,,
PL20251201,MR0501013,0.35,SI,,,,
PL20251201,MR0305033,0.53,SI,,,,
PL20251201,MR1102005,1.35,SI,,,,
PL20251201,MR0301015,8.45,SI,,,,
PL20251201,MR01251117,2.71,SI,,,,
PL20251201,PL20260301,,SI,,,OZ001,1.35
PL20251202,MR01251116,2.12,SI,,,,
PL20251202,MR0301005,28.22,SI,,,,
PL20251202,MR0303002,0.35,SI,,,,
PL20251202,MR0305033,0.35,SI,,,,
PL20251202,MR0301015,1.01,SI,,,,
PL20251202,MR0301001,1.06,SI,,,,
PL20251202,PL20260301,,SI,,,OZ001,1.35
PL20251204,MR01251103,0.04,SI,,,,
PL20251204,MR0301005,1,SI,,,,
PL20251204,MR0301012,0.35,SI,,,,
PL20251204,MR0302021,0.04,SI,,,,
PL20251204,MR0502005,1.76,SI,,,,
PL20251204,MR0305033,0.53,SI,,,,
PL20251204,MR0304006,0.14,SI,,,,
PL20251204,MR0302024,0.34,SI,,,,
PL20251204,MR0301001,0.35,SI,,,,
PL20251204,MR0301003,0.34,SI,,,,
PL20251204,PL20260301,,SI,,,OZ001,1.01
PL20251206,MR01251114,5.29,SI,,,,
PL20251206,MR0101021,1.06,SI,,,,
PL20251206,MR0303004,3.53,SI,,,,
PL20251206,MR0501013,1.41,SI,,,,
PL20251206,MR0305033,1.41,SI,,,,
PL20251206,MR0501008,1.76,SI,,,,
PL20251206,MR1102005,10.15,SI,,,,
PL20251206,MR0302024,8.45,SI,,,,
PL20251206,MR0301015,8.45,SI,,,,
PL20251206,MR01251117,2.71,SI,,,,
PL20251209,MR0202003,35.27,SI,,,,
PL20251209,MR0302021,0.11,SI,,,,
PL20251209,MR0303004,1.41,SI,,,,
PL20251209,MR0501013,0.53,SI,,,,
PL20251209,MR0305033,0.88,SI,,,,
PL20251209,MR0522028,1.35,SI,,,,
PL20251209,MR0301015,3.38,SI,,,,
PL20251209,MR01251113,2.03,SI,,,,
PL20251211,MR0303002,4.23,SI,,,,
PL20251211,MR0501020,10.58,SI,,,,
PL20251211,MR0501022,10.58,SI,,,,
PL20251211,MR0501029,14.11,SI,,,,
PL20251211,MR0304006,0.35,SI,,,,
PL20251211,MR01251117,8.45,SI,,,,
PL20251213,MR0101003,35.27,SI,,,,
PL20251213,MR0302017,0.35,SI,,,,
PL20251213,MR0302021,0.14,SI,,,,
PL20251213,MR0304001,0.21,SI,,,,
PL20251213,MR0502007,0.35,SI,,,,
PL20251213,MR0305033,0.71,SI,,,,
PL20251213,MR0304006,0.63,SI,,,,
PL20251213,MR0702007,4.23,SI,,,,
PL20251213,MR0301003,1.35,SI,,,,
PL20251213,PL20260301,,SI,,,OZ001,1.35
PL20251214,MR0522001,0.53,SI,,,,
PL20251214,MR04251101,17.64,SI,,,,
PL20251214,MR0702007,8.82,SI,,,,
PL20251214,PL20260312,,SI,,,OZ001,1
PL20251214,PL20260301,,SI,,,OZ001,1.06
PL20251215,MR0302066,0.53,SI,,,,
PL20251215,MR0522032,0.71,SI,,,,
PL20251215,MR0304006,0.35,SI,,,,
PL20251215,MR1201003,1,SI,,,,
PL20251215,MR0522030,2.71,SI,,,,
PL20251215,PL20251110,,SI,,,OZ001,5.07
PL20251215,PL20250905,,SI,,,OZ001,27.05
PL20251217,MR01251105,1.06,SI,,,,
PL20251217,MR0303002,4.23,SI,,,,
PL20251217,MR0702002,64,SI,,,,
PL20251217,MR0522030,34.92,SI,,,,
PL20251217,MP0301017,5,SI,,,,
PL20251218,MR0101021,0.11,SI,,,,
PL20251218,MR0303002,2.82,SI,,,,
PL20251218,MR1103006,5.07,SI,,,,
PL20251218,MR1102007,8.45,SI,,,,
PL20251218,PL20260301,,SI,,,OZ001,0.34
PL20251219,MR0303002,1.8,SI,,,,
PL20251219,MR0602001,21,SI,,,,
PL20251219,MR0522032,7.1,SI,,,,
PL20251219,MR0304006,0.5,SI,,,,
PL20251219,MP0301017,0.35,SI,,,,
PL20251219,MR0702002,33.8,SI,,,,
PL20251219,MR0101001,4,SI,,,,
PL20251221,MR01251105,5,SI,,,,
PL20251221,MR01250829,34.92,SI,,,,
PL20251221,MR0522030,4.23,SI,,,,
PL20251221,MR0301024,1.06,SI,,,,
PL20251221,PL20260327,,SI,,,PORCION,0.25
PL20251222,MR01250901,1.06,SI,,,,
PL20251222,MR01250902,1.06,SI,,,,
PL20251222,MR0303004,2.82,SI,,,,
PL20251222,MR0602001,5.29,SI,,,,
PL20251222,MR0522032,3.53,SI,,,,
PL20260102,MR0101021,0.353,SI,,,,
PL20260102,MR0303004,2.821,SI,,,,
PL20260102,MR0701002,2.116,SI,,,,
PL20260102,MR0522011,9.282,SI,,,,
PL20260102,MR0501005,5.929,SI,,,,
PL20260102,MR0522028,0.676,SI,,,,
PL20260102,BR02250901,16.906,SI,,,,
PL20260103,MR0302021,0.18,SI,,,,
PL20260103,MR0522009,35.27,SI,,,,
PL20260103,MR0304006,0.35,SI,,,,
PL20260103,MR0522028,0.68,SI,,,,
PL20260103,MR0302024,0.68,SI,,,,
PL20260103,PL20250868,,SI,,,OZ001,2.12
PL20260104,MR0302009,2.12,SI,,,,
PL20260104,MR0303004,3.53,SI,,,,
PL20260104,MR0501050,14.11,SI,,,,
PL20260104,MR0305033,1.41,SI,,,,
PL20260104,MR0302024,6.76,SI,,,,
PL20260104,MR0301015,4.06,SI,,,,
PL20260104,PL20260301,,SI,,,OZ001,3.38
PL20260301,MR0501016,35.27,SI,,,,
PL20260302,MR0501001,2.2,SI,,,,
PL20260303,MR0501025,35.27,SI,,,,
PL20260303,MR0304006,1.058,SI,,,,
PL20260303,MR0501008,1.764,SI,,,,
PL20260303,MR0501004,5.291,SI,,,,
PL20260303,PL20260301,,SI,,,OZ001,10.581
PL20260304,MR0304006,1.058,SI,,,,
PL20260304,PL20260301,,SI,,,OZ001,1.058
PL20260304,PL20260302,,SI,,,OZ001,24.7
PL20260304,PL20260303,,SI,,,OZ001,10.58
PL20260305,MR0101001,24,SI,,,,
PL20260305,MR01251108,16,SI,,,,
PL20260305,MR0302055,16,SI,,,,
PL20260305,MR0303002,33,SI,,,,
PL20260305,MR0522032,24,SI,,,,
PL20260305,MR0322005,12,SI,,,,
PL20260305,MR0304006,2,SI,,,,
PL20260305,MR0322012,1,SI,,,,
PL20260305,MR0602006,35,SI,,,,
PL20260305,MR01260301,2,SI,,,,
PL20260305,MR01260302,2,SI,,,,
PL20260305,MR0522028,4,SI,,,,
PL20260307,MR01260305,0.353,SI,,,,
PL20260307,MR01260306,0.035,SI,,,,
PL20260307,MR0101020,3.527,SI,,,,
PL20260307,MR0302021,0.212,SI,,,,
PL20260307,MR0302026,0.212,SI,,,,
PL20260307,MR0501059,0.035,SI,,,,
PL20260307,MR0304006,0.353,SI,,,,
PL20260307,MR1201080,2,SI,,,,
PL20260307,MR0522030,7.054,SI,,,,
PL20260307,MR0301003,0.676,SI,,,,
PL20260307,MR01260307,0.203,SI,,,,
PL20260307,MR0501004,1,SI,,,,
PL20260307,MR0305033,0.5,SI,,,,
PL20260308,MR0302021,0.035,SI,,,,
PL20260308,MR0502007,0.176,SI,,,,
PL20260308,MR0501005,13.614,SI,,,,
PL20260308,MR0301021,10.581,SI,,,,
PL20260308,PL20260301,,SI,,,OZ001,10
PL20260308,MR0304006,0.529,SI,,,,
PL20260309,MR01251107,35.27,SI,,,,
PL20260309,MR0301004,16.907,SI,,,,
PL20260310,MR01260303,0.353,SI,,,,
PL20260310,MR0303002,21.162,SI,,,,
PL20260310,MR0304006,7.054,SI,,,,
PL20260310,MR01251117,33.814,SI,,,,
PL20260311,MR01251201,35.27,SI,,,,
PL20260311,PL20260310,,SI,,,OZ001,8.818
PL20260312,MR0303002,0.033,SI,,,,
PL20260312,MR0501020,17.64,SI,,,,
PL20260312,MR0304006,0.1,SI,,,,
PL20260312,PL20260310,,SI,,,OZ001,0.55
PL20260313,MR0101021,1.06,SI,,,,
PL20260313,MR0302017,0.07,SI,,,,
PL20260313,MR0302021,0.04,SI,,,,
PL20260313,MR0602001,3.53,SI,,,,
PL20260313,MR0304006,0.18,SI,,,,
PL20260313,MR0501004,17.64,SI,,,,
PL20260314,MR0303002,1.76,SI,,,,
PL20260314,MR0304006,0.04,SI,,,,
PL20260314,MR0302024,0.68,SI,,,,
PL20260314,MR0301020,8.45,SI,,,,
PL20260315,MR0304006,0.176,SI,,,,
PL20260315,MR0801006,80,SI,,,,
PL20260316,MR0101001,1,SI,,,,
PL20260316,MR01250902,2,SI,,,,
PL20260316,MR01250847,0.18,SI,,,,
PL20260316,MR0302017,0.11,SI,,,,
PL20260316,MR0302021,0.07,SI,,,,
PL20260316,MR0304006,0.18,SI,,,,
PL20260316,MR0603006,1,SI,,,,
PL20260316,CP05250852,,SI,,,OZ001,2
PL20260316,PL20260315,,SI,,,PORCION,1
PL20260317,MR0101005,0.04,SI,,,,
PL20260317,MR0301070,21.16,SI,,,,
PL20260317,MR0303004,5.3,SI,,,,
PL20260317,MR0304006,0.07,SI,,,,
PL20260317,MR03250854,0.35,SI,,,,
PL20260317,PL20260301,,SI,,,OZ001,1.01
PL20260318,MR0302021,0.11,SI,,,,
PL20260318,MR0303004,0.35,SI,,,,
PL20260318,MR0522022,31.74,SI,,,,
PL20260318,MR0305033,0.53,SI,,,,
PL20260318,MR0304006,0.18,SI,,,,
PL20260318,MR0501006,1.41,SI,,,,
PL20260318,MR0501013,0.53,SI,,,,
PL20260318,MR0501004,2.12,SI,,,,
PL20260318,MR0301015,1.35,SI,,,,
PL20260318,MR0301001,0.71,SI,,,,
PL20260319,MR0101001,1,SI,,,,
PL20260319,MR0101021,1.41,SI,,,,
PL20260319,MR0302003,0.18,SI,,,,
PL20260319,MR0302017,0.18,SI,,,,
PL20260319,MR0302021,0.18,SI,,,,
PL20260319,MR0602001,10.58,SI,,,,
PL20260319,MR0322004,0.18,SI,,,,
PL20260319,MR0304006,0.35,SI,,,,
PL20260319,MR0322012,0.35,SI,,,,
PL20260319,PT0301005,11.2,SI,,,,
PL20260320,MR01250861,0.11,SI,,,,
PL20260320,MR0302021,0.18,SI,,,,
PL20260320,MR0522032,1,SI,,,,
PL20260320,MR0502008,0.71,SI,,,,
PL20260320,MR0305033,0.35,SI,,,,
PL20260320,MR0304006,0.35,SI,,,,
PL20260320,MR0704022,7.05,SI,,,,
PL20260320,MR0522030,10.15,SI,,,,
PL20260320,PL20250905,,SI,,,OZ001,23.67
PL20260321,MR0502004,0.35,SI,,,,
PL20260321,MR0501036,1,SI,,,,
PL20260321,MR0304006,0.07,SI,,,,
PL20260321,MR0301003,0.17,SI,,,,
PL20260321,PL20250917,,SI,,,OZ001,1.76
PL20260321,PL20251106,,SI,,,OZ001,0.18
PL20260321,PL20260314,,SI,,,OZ001,0.28
PL20260322,MR01250861,0.07,SI,,,,
PL20260322,MR0302021,0.18,SI,,,,
PL20260322,MR0522032,4.23,SI,,,,
PL20260322,MR0501019,42.32,SI,,,,
PL20260322,MR0305033,0.71,SI,,,,
PL20260322,MR0304006,0.42,SI,,,,
PL20260322,MR0702002,3.38,SI,,,,
PL20260322,MR0522030,10.15,SI,,,,
PL20260324,MR0302015,35.27,SI,,,,
PL20260324,MR0522032,3.527,SI,,,,
PL20260326,MR0302021,0.07,SI,,,,
PL20260326,MR0522032,1.41,SI,,,,
PL20260326,MR0305032,1.76,SI,,,,
PL20260326,MR0304006,0.18,SI,,,,
PL20260326,MR0501004,35.27,SI,,,,
PL20260326,PT0301003,5.07,SI,,,,
PL20260326,MR0522028,1.01,SI,,,,
PL20260326,MR0301020,0.68,SI,,,,
PL20260327,MR0301070,35.27,SI,,,,
PL20260327,PL20260402,0.25,SI,,,,
PL20260328,MR0101001,30,SI,,,,
PL20260328,MR0101003,640,SI,,,,
PL20260328,MR0603006,48,SI,,,,
PL20260328,MR0603017,35.27,SI,,,,
PL20260400,MR0302021,0.07,SI,,,,
PL20260400,MR0303004,2.12,SI,,,,
PL20260400,MR0305033,0.71,SI,,,,
PL20260400,MR0304006,0.18,SI,,,,
PL20260400,MR0401007,14.11,SI,,,,
PL20260400,MR0501004,5.29,SI,,,,
PL20260400,MR0301023,1.69,SI,,,,
PL20260400,MR0301020,1.35,SI,,,,
PL20260401,MR0101021,0.35,SI,,,,
PL20260401,MR01250847,0.18,SI,,,,
PL20260401,MR0303004,1.76,SI,,,,
PL20260401,MR0501018,5.29,SI,,,,
PL20260401,MR1102005,6.76,SI,,,,
PL20260401,MR0301001,0.53,SI,,,,
PL20260402,MR0303002,2.2,SI,,,,
PL20260402,MR0101005,0.55,SI,,,,
PL20260403,MR0501058,0.18,SI,,,,
PL20260403,MR0305033,0.71,SI,,,,
PL20260403,MR0304006,0.71,SI,,,,
PL20260403,MR03250902,35.27,SI,,,,
PL20260403,MR0501004,5.29,SI,,,,
PL20260404,MR0301005,14.11,SI,,,,
PL20260404,MR0301012,0.35,SI,,,,
PL20260404,MR0302017,0.04,SI,,,,
PL20260404,MR0302021,0.07,SI,,,,
PL20260404,MR0305033,2.47,SI,,,,
PL20260404,MR0304006,0.18,SI,,,,
PL20260404,MR0302024,0.17,SI,,,,
PL20260404,MR0301003,0.51,SI,,,,
PL20260404,PL20260301,,SI,,,OZ001,0.51
PL20260405,MR01260101,25,SI,,,,
PL20260405,MR0304006,0.18,SI,,,,
PL20260405,MR0301004,16.91,SI,,,,
PL20260406,MR0501045,15.87,SI,,,,
PL20260406,MR0502004,3.53,SI,,,,
PL20260406,MR0501014,15.87,SI,,,,
PL20260407,MR0304006,12,SI,,,,
PL20260407,MR0302066,4,SI,,,,
PL20260407,MR0302026,4,SI,,,,
PR2022020,MR0303002,6.3,SI,,,,
